Protocol,Model,Fold,Train start,Train end,Test start,Test end,AUC-ROC,Accuracy
Step 2b - WF 500/100 no embargo,MLP,1,2016-02-22,2018-02-13,2018-02-14,2018-07-09,0.381,0.68
Step 2b - WF 500/100 no embargo,MLP,2,2016-07-14,2018-07-09,2018-07-10,2018-11-28,0.3605,0.51
Step 2b - WF 500/100 no embargo,MLP,3,2016-12-05,2018-11-28,2018-11-29,2019-04-25,0.5793,0.65
Step 2b - WF 500/100 no embargo,MLP,4,2017-05-01,2019-04-25,2019-04-26,2019-09-17,0.6379,0.55
Step 2b - WF 500/100 no embargo,MLP,5,2017-09-21,2019-09-17,2019-09-18,2020-02-10,0.2924,0.37
Step 2b - WF 500/100 no embargo,MLP,6,2018-02-14,2020-02-10,2020-02-11,2020-07-02,0.5682,0.62
Step 2b - WF 500/100 no embargo,MLP,7,2018-07-10,2020-07-02,2020-07-06,2020-11-23,0.7594,0.77
Step 2b - WF 500/100 no embargo,MLP,8,2018-11-29,2020-11-23,2020-11-24,2021-04-20,0.464,0.88
Step 2b - WF 500/100 no embargo,MLP,9,2019-04-26,2021-04-20,2021-04-21,2021-09-10,0.666,0.81
Step 2b - WF 500/100 no embargo,MLP,10,2019-09-18,2021-09-10,2021-09-13,2022-02-02,0.4476,0.49
Step 2b - WF 500/100 no embargo,MLP,11,2020-02-11,2022-02-02,2022-02-03,2022-06-28,0.4896,0.32
Step 2b - WF 500/100 no embargo,MLP,12,2020-07-06,2022-06-28,2022-06-29,2022-11-17,0.4821,0.48
Step 2b - WF 500/100 no embargo,MLP,13,2020-11-24,2022-11-17,2022-11-18,2023-04-14,0.6038,0.5
Step 2b - WF 500/100 no embargo,MLP,14,2021-04-21,2023-04-14,2023-04-17,2023-09-07,0.6716,0.52
Step 2b - WF 500/100 no embargo,LSTM,1,2016-02-22,2018-02-13,2018-02-14,2018-07-09,0.5241,0.69
Step 2b - WF 500/100 no embargo,LSTM,2,2016-07-14,2018-07-09,2018-07-10,2018-11-28,0.3023,0.53
Step 2b - WF 500/100 no embargo,LSTM,3,2016-12-05,2018-11-28,2018-11-29,2019-04-25,0.6323,0.69
Step 2b - WF 500/100 no embargo,LSTM,4,2017-05-01,2019-04-25,2019-04-26,2019-09-17,0.7615,0.59
Step 2b - WF 500/100 no embargo,LSTM,5,2017-09-21,2019-09-17,2019-09-18,2020-02-10,0.4412,0.84
Step 2b - WF 500/100 no embargo,LSTM,6,2018-02-14,2020-02-10,2020-02-11,2020-07-02,0.3912,0.73
Step 2b - WF 500/100 no embargo,LSTM,7,2018-07-10,2020-07-02,2020-07-06,2020-11-23,0.2588,0.73
Step 2b - WF 500/100 no embargo,LSTM,8,2018-11-29,2020-11-23,2020-11-24,2021-04-20,0.3939,0.88
Step 2b - WF 500/100 no embargo,LSTM,9,2019-04-26,2021-04-20,2021-04-21,2021-09-10,0.6225,0.81
Step 2b - WF 500/100 no embargo,LSTM,10,2019-09-18,2021-09-10,2021-09-13,2022-02-02,0.446,0.5
Step 2b - WF 500/100 no embargo,LSTM,11,2020-02-11,2022-02-02,2022-02-03,2022-06-28,0.3867,0.35
Step 2b - WF 500/100 no embargo,LSTM,12,2020-07-06,2022-06-28,2022-06-29,2022-11-17,0.4355,0.56
Step 2b - WF 500/100 no embargo,LSTM,13,2020-11-24,2022-11-17,2022-11-18,2023-04-14,0.3415,0.48
Step 2b - WF 500/100 no embargo,LSTM,14,2021-04-21,2023-04-14,2023-04-17,2023-09-07,0.4672,0.54
Step 2b - WF 500/100 no embargo,CNN-GAF,1,2016-02-22,2018-02-13,2018-02-14,2018-07-09,0.7396,0.69
Step 2b - WF 500/100 no embargo,CNN-GAF,2,2016-07-14,2018-07-09,2018-07-10,2018-11-28,0.1365,0.53
Step 2b - WF 500/100 no embargo,CNN-GAF,3,2016-12-05,2018-11-28,2018-11-29,2019-04-25,0.3963,0.78
Step 2b - WF 500/100 no embargo,CNN-GAF,4,2017-05-01,2019-04-25,2019-04-26,2019-09-17,0.6246,0.59
Step 2b - WF 500/100 no embargo,CNN-GAF,5,2017-09-21,2019-09-17,2019-09-18,2020-02-10,0.4137,0.84
Step 2b - WF 500/100 no embargo,CNN-GAF,6,2018-02-14,2020-02-10,2020-02-11,2020-07-02,0.4389,0.64
Step 2b - WF 500/100 no embargo,CNN-GAF,7,2018-07-10,2020-07-02,2020-07-06,2020-11-23,0.2619,0.8
Step 2b - WF 500/100 no embargo,CNN-GAF,8,2018-11-29,2020-11-23,2020-11-24,2021-04-20,0.5616,0.88
Step 2b - WF 500/100 no embargo,CNN-GAF,9,2019-04-26,2021-04-20,2021-04-21,2021-09-10,0.8285,0.81
Step 2b - WF 500/100 no embargo,CNN-GAF,10,2019-09-18,2021-09-10,2021-09-13,2022-02-02,0.3332,0.5
Step 2b - WF 500/100 no embargo,CNN-GAF,11,2020-02-11,2022-02-02,2022-02-03,2022-06-28,0.5004,0.36
Step 2b - WF 500/100 no embargo,CNN-GAF,12,2020-07-06,2022-06-28,2022-06-29,2022-11-17,0.7196,0.56
Step 2b - WF 500/100 no embargo,CNN-GAF,13,2020-11-24,2022-11-17,2022-11-18,2023-04-14,0.7621,0.57
Step 2b - WF 500/100 no embargo,CNN-GAF,14,2021-04-21,2023-04-14,2023-04-17,2023-09-07,0.6119,0.67
